trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",30,13,11.164336261539122,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.4446615167417068}",25,13,0.9223043179779189,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.4356824462767121}",25,13,-4.496092846766345,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",20,9,-6.258403969590053,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",35,24,-21.035516635555858,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",20,0,-3.2954938941141374,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",30,8,-36.46968795556415,"{0: 17, 1: 3, 2: 1, 3: 0, 4: 1}",1
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",25,11,-68.02643037255436,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 1}",1
118,False,"{'a': 0.01, 'e': 0.38092482436688185}",30,8,28.75257432896381,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.371659872260533}",20,0,-5.562080969151591,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",20,3,-64.00936426221608,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 1}",1
121,False,"{'a': 0.01, 'e': 0.3530194012193304}",25,3,-10.65796920712616,"{0: 18, 1: 2, 2: 1, 3: 1, 4: 0}",1
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",20,13,-21.89717234066696,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 0}",1
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",20,0,-6.187305190939398,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",25,7,-4.033936377256001,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",25,15,-0.11190000760057006,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.30581690837828934}",25,7,-23.523708798630853,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
127,False,"{'a': 0.01, 'e': 0.29628087292531874}",25,0,3.4042469869624306,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
